Lo;LoIncluded;Hi;HiIncluded;Exposed
40;False;45;True;0
45;False;55;True;0
55;False;60;True;280251
60;False;65;True;165586
65;False;70;True;123528
70;False;75;True;63997
75;False;80;False;8737
